rank,hex,r,g,b,share_pct,hsl_h,hsl_s,hsl_l,hsv_h,hsv_s,hsv_v,linear_r,linear_g,linear_b,luma
1,#08191F,8,25,31,13.166,195.7,59.0,7.6,195.7,74.2,12.2,0.00243,0.00972,0.01370,21.82
2,#081F27,8,31,39,11.298,195.5,66.0,9.2,195.5,79.5,15.3,0.00243,0.01370,0.02029,26.69
3,#082B32,8,43,50,8.370,190.0,72.4,11.4,190.0,84.0,19.6,0.00243,0.02416,0.03190,36.06
4,#0C343D,12,52,61,7.493,191.0,67.1,14.3,191.0,80.3,23.9,0.00368,0.03434,0.04667,44.15
5,#071218,7,18,24,7.398,201.2,54.8,6.1,201.2,70.8,9.4,0.00212,0.00605,0.00913,16.09
6,#11242C,17,36,44,7.221,197.8,44.3,12.0,197.8,61.4,17.3,0.00561,0.01764,0.02519,32.54
7,#192F37,25,47,55,5.829,196.0,37.5,15.7,196.0,54.5,21.6,0.00972,0.02843,0.03820,42.90
8,#0D4047,13,64,71,5.774,187.2,69.0,16.5,187.2,81.7,27.8,0.00402,0.05127,0.06301,53.66
9,#134A55,19,74,85,5.768,190.0,63.5,20.4,190.0,77.6,33.3,0.00651,0.06848,0.09084,63.10
10,#223D44,34,61,68,4.899,192.4,33.3,20.0,192.4,50.0,26.7,0.01600,0.04667,0.05781,55.77
11,#2A4D53,42,77,83,4.522,188.8,32.8,24.5,188.8,49.4,32.5,0.02315,0.07421,0.08650,69.99
12,#467D89,70,125,137,3.869,190.7,32.4,40.6,190.7,48.9,53.7,0.06125,0.20508,0.25016,114.17
13,#336F78,51,111,120,3.642,187.8,40.4,33.5,187.8,57.5,47.1,0.03310,0.15896,0.18782,98.89
14,#335D66,51,93,102,3.472,190.6,33.3,30.0,190.6,50.0,40.0,0.03310,0.10946,0.13287,84.72
15,#1C5A64,28,90,100,3.029,188.3,56.2,25.1,188.3,72.0,39.2,0.01161,0.10224,0.12744,77.54
16,#60929D,96,146,157,3.022,190.8,26.5,49.6,190.8,38.9,61.6,0.11697,0.28744,0.33716,136.16
